game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
1,24,-20,81,0,0,80,28,0,2009-10,10,0,9,4,32,NHL,11.1,18,162,0,92,19,208,18:58,"[{'link': '/awards/voting-2010.html#calder', 'name': 'Calder-8'}]",37,43,5,1518,NYR
0,16,-5,58,0,0,47,9,0,2010-11,4,0,2,2,20,NHL,3.4,5,92,0,72,20,152,19:29,[],11,24,0,916,NYR
2,28,20,113,0,2,77,31,0,2011-12,16,1,10,1,36,NHL,8.8,13,156,0,95,21,232,22:26,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-15'}, {'link': '/awards/voting-2012.html#norris', 'name': 'Norris-12'}]",41,35,8,1728,NYR
0,10,6,81,0,0,46,18,0,2012-13,10,1,3,0,18,NHL,3.7,8,77,0,64,22,186,23:10,[],21,26,2,1066,NYR
0,15,-9,90,1,0,67,13,0,2013-14,9,0,3,1,18,NHL,3.3,4,78,0.0,75,23,199,17:12,[],16,31,2,1153,TOT
0,9,-5,64,0,0,42,9,0,2013-14,5,0,2,1,10,NHL,3.1,4,50,0,47,23,143,17:45,[],11,25,1,745,NYR
0,6,-4,26,1,0,25,4,0,2013-14,4,0,1,0,8,NHL,3.8,0,28,0.0,28,23,56,16:18,[],5,6,1,407,NSH
4,14,-5,119,0,0,64,22,0,2014-15,15,1,10,1,34,NHL,8.4,7,153,0,128,24,224,21:55,[],32,36,8,1403,PHI
1,14,-8,98,0,0,52,9,0,2015-16,8,0,4,0,16,NHL,4.1,1,140,0,104,25,214,23:25,[],13,31,4,1217,PHI
0,9,-5,92,1,1,51,12,0,2016-17,10,0,6,0,28,NHL,6.5,1,173,0.0,85,26,188,19:30,[],18,30,6,995,PHI
