bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,1.41,0,26,NHL,0,20,0,24,0,0,0,0,2,.923,2002-03,OTT,0,0.2,0,0,1,3,85
0,0,[],0,2.38,0,52,NHL,0,21,0,47,2,0,0,0,5,.904,2003-04,OTT,0,0.3,0,0,2,3,126
0,3,[],1,2.82,1.17,1045,NHL,0,23,0,943,2,0,0,99,102,.902,2005-06,OTT,11,6.5,1,4,23,39,2168
0,5,[],1,2.47,22.24,1691,NHL,0,24,0,1553,30,0,0,86,138,.918,2006-07,OTT,16,12.8,1,6,33,58,3351
5,0,[],0,3.13,-15.33,800,NHL,11,25,.423,712,6,0,26,121,88,.890,2007-08,OTT,13,3.2,0,4,12,31,1689
6,3,[],1,2.64,-4.52,783,NHL,16,27,.552,709,2,0,29,107,74,.905,2009-10,PHI,11,4.2,1,1,16,29,1684
0,0,[],0,2.28,0,272,NHL,5,28,.556,252,0,0,9,0,20,.926,2010-11,ANA,2,2.1,0,0,7,10,527
5,0,[],1,2.81,-10.89,834,NHL,12,29,.444,751,2,0,27,115,83,.900,2011-12,CHI,9,3.8,1,4,15,34,1774
1,3,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-10'}, {'link': '/awards/jennings.html#2013', 'name': None}, {'link': '/awards/voting-2013.html#vezina', 'name': 'Vezina-7'}]",0,1.94,4.52,460,NHL,12,30,.632,424,0,0,19,89,36,.922,2012-13,CHI,1,3.4,0,0,17,21,1116
2,2,[],0,2.96,-7.74,711,NHL,11,31,.524,642,31,0,21,113,69,.903,2013-14,PHI,12,3.4,0,2,9,28,1398
6,0,[],0,3.06,-15.30,758,NHL,13,32,.520,678,4,0,25,124,80,.894,2014-15,PHI,11,2.7,0,7,10,31,1570
